First Name,Last Name,Sooner ID,4+4,Email Address,Resident Status,Level,Registration Date,Program Codes,,
Tianna,Flowers,113516785,Flow1135,Tianna.Flowers-1@ou.edu,Non-Resident of Oklahoma,UG,4/3/2018 22:48,NBU-BBA: Management Info Systems,,
Viviana,Buchanan,113426803,Buch1134,Viviana.Buchanan-1@ou.edu,Resident of Oklahoma,UG,4/3/2018 16:16,NBU-BBA: Management Info Systems,,
Allisson,Hardy,113984509,Hard1139,Allisson.Hardy-1@ou.edu,International,UG,8/23/2018 12:50,NBU-BBA: Management Info Sys Accel BBA,,
Dane,Giles,113453449,Gile1134,Dane.Giles-1@ou.edu,Non-Resident of Oklahoma,UG,4/4/2018 12:55,NBU-ADLMAJ: Management Info Systems,NBU-BBA: Management,NBU-BBA: Sports Management
Nola,Dunn,113600110,Dunn1136,Nola.Dunn-1@ou.edu,Resident of Oklahoma,UG,4/3/2018 8:26,NAA-PREDEG: Pre-Medicine,NAS-MINOR: Spanish,NBU-BBA: Management Info Sys Accel BBA
Addyson,Moses,113908873,Mose1139,Addyson.Moses-1@ou.edu,Resident of Oklahoma,UG,4/4/2018 13:52,NBU-ADLMAJ: Management Info Systems,NBU-BBA: Marketing,NBU-BBA: Marketing-Standard
Summer,Meyers,113024195,Meye1130,Summer.Meyers-1@ou.edu,Resident of Oklahoma,UG,4/3/2018 17:53,NBU-BBA: Management Info Systems,,
Josiah,Barton,113418089,Bart1134,Josiah.Barton-1@ou.edu,Resident of Oklahoma,UG,4/4/2018 18:30,NBU-ADLMAJ: Accounting,NBU-BBA: Management Info Systems,
Maryjane,Long,113915130,Long1139,Maryjane.Long-1@ou.edu,Resident of Oklahoma,UG,6/5/2018 12:41,NBU-BBA: Management Info Systems,,
Ignacio,Mullen,113981291,Mull1139,Ignacio.Mullen-1@ou.edu,Resident of Oklahoma,UG,4/5/2018 9:04,NBU-BBA: Management Info Systems,,
Aditya,Henderson,113410441,Hend1134,Aditya.Henderson-1@ou.edu,Resident of Oklahoma,UG,4/3/2018 18:11,NBU-ADLMAJ: Accounting,NBU-ADLMAJ: Finance,NBU-BBA: Management Info Systems
Lydia,Hendricks,113191791,Hend1131,Lydia.Hendricks-1@ou.edu,Non-Resident of Oklahoma,UG,4/9/2018 13:24,NBU-ADLMAJ: Management Info Systems,NBU-BBA: Entrepreneurship and Vent Mgt,
Dylan,Cochran,113501196,Coch1135,Dylan.Cochran-1@ou.edu,Resident of Oklahoma,UG,4/3/2018 18:38,NBU-ADLMAJ: Accounting,NBU-BBA: Management Info Systems,
Zane,Schwartz,113229452,Schw1132,Zane.Schwartz-1@ou.edu,Non-Resident of Oklahoma,UG,4/4/2018 19:54,NBU-BBA: Management Info Systems,,
Sebastian,Molina,113796957,Moli1137,Sebastian.Molina-1@ou.edu,International,UG,4/4/2018 20:51,NBU-BBA: Management Info Systems,,
Naomi,Pratt,113756787,Prat1137,Naomi.Pratt-1@ou.edu,Resident of Oklahoma,UG,4/4/2018 8:34,NAS-MINOR: History,NBU-BBA: Management Info Systems,
Isla,Welch,113193988,Welc1131,Isla.Welch-1@ou.edu,Resident of Oklahoma,UG,4/4/2018 19:19,NBU-BBA: Management Info Systems,,
Zion,Finley,113092475,Finl1130,Zion.Finley-1@ou.edu,Resident of Oklahoma,UG,4/3/2018 19:01,NBU-BBA: Management Info Systems,,
Patience,Johnston,113789370,John1137,Patience.Johnston-1@ou.edu,Resident of Oklahoma,UG,4/4/2018 8:21,NBU-BBA: Management Info Sys Accel BBA,,
Justice,Cherry,113049154,Cher1130,Justice.Cherry-1@ou.edu,Non-Resident of Oklahoma,UG,3/26/2018 19:30,NBU-BBA: Management Info Systems,NBU-BBA: Management,NBU-BBA: Management-Standard
Alanna,Morrison,113336505,Morr1133,Alanna.Morrison-1@ou.edu,Resident of Oklahoma,UG,4/4/2018 20:54,NBU-BBA: Management Info Systems,NBU-MINOR: Healthcare,
Danielle,Herring,113831070,Herr1138,Danielle.Herring-1@ou.edu,Non-Resident of Oklahoma,UG,4/1/2018 20:47,NAA-PREDEG: Pre-Law Studies,NAS-MINOR: Chinese,NBU-BBA: Management Info Systems
Erica,Valdez,113172132,Vald1131,Erica.Valdez-1@ou.edu,Resident of Oklahoma,UG,3/29/2018 10:18,NBU-BBA: Management Info Systems,,
Keagan,Bender,113796433,Bend1137,Keagan.Bender-1@ou.edu,Non-Resident of Oklahoma,UG,4/9/2018 20:46,NBU-BBA: Management Info Sys Accel BBA,,
Tabitha,Mills,113271936,Mill1132,Tabitha.Mills-1@ou.edu,Resident of Oklahoma,UG,4/4/2018 18:10,NBU-BBA: Management Info Systems,,
Deacon,Woods,113807224,Wood1138,Deacon.Woods-1@ou.edu,Resident of Oklahoma,UG,4/3/2018 20:37,NBU-BBA: Management Info Systems,,
Karina,Booker,113206176,Book1132,Karina.Booker-1@ou.edu,Non-Resident of Oklahoma,UG,4/5/2018 18:30,NBU-BBA: Management Info Sys Accel BBA,NBU-MINOR: Accounting,
Hector,Hurst,113446001,Hurs1134,Hector.Hurst-1@ou.edu,Resident of Oklahoma,UG,4/5/2018 18:10,NBU-BBA: Management Info Sys Accel BBA,,
